first,last,pos,value,id,OBP,SLG,R,HR,RBI,SB,G,AB,H,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,age,years played,weight,height
Mike,Dunn,P,-31.6218784015,dunnmi01,1.0,1.0,0,0,0,0,72,1,1,0,0,0,0,0,0,0,0,0,0,30,6,210,72
Adam,Duvall,OF,-24.9893435929,duvalad01,0.3055555555555556,0.484375,6,5,9,0,27,64,14,2,0,0,6,26,1,2,0,0,0,27,1,205,73
Ed,Easley,C,-31.6301082871,easleed01,0.0,0.0,0,0,1,0,4,6,0,0,0,0,0,1,0,0,0,1,1,30,0,205,72
Carl,Edwards,P,-31.6301082871,edwarca01,0.0,0.0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,24,0,170,75
Jerad,Eickhoff,P,-31.0343937343,eickhje01,0.14285714285714285,0.14285714285714285,1,0,2,0,8,14,2,0,0,0,0,7,0,0,2,0,0,25,0,240,76
A. J.,Ellis,C,-13.0599647771,ellisaj01,0.35514018691588783,0.40331491712707185,24,7,21,0,63,181,43,9,0,0,32,38,1,1,3,0,4,34,7,230,74
Robbie,Erlin,P,-31.6301082871,erlinro01,0.0,0.0,0,0,0,0,3,5,0,0,0,0,0,1,0,0,1,0,0,25,2,195,72
Yunel,Escobar,3B,18.4896380375,escobyu01,0.37457627118644066,0.41495327102803736,75,9,56,2,139,535,168,25,1,2,45,70,0,8,1,2,24,33,8,215,74
Danny,Espinosa,OF,11.4328240001,espinda01,0.3105134474327628,0.4087193460490463,59,13,37,5,118,367,88,21,1,2,33,106,5,6,3,3,6,28,5,210,72
Andre,Ethier,OF,9.07471248522,ethiean01,0.36629213483146067,0.4860759493670886,54,14,53,2,142,395,116,20,7,3,43,75,2,4,0,3,11,33,9,210,74
Jose,Fernandez,P,-29.8244084061,fernajo02,0.16666666666666666,0.3888888888888889,2,1,2,0,11,18,3,1,0,0,0,4,0,0,4,0,0,23,2,215,74
